customer_id,first_name,last_name,gender,marketing_opt_in,preferred_language,preferred_channel,lifetime_value,risk_score,first_order_date,last_order_date,num_orders,total_revenue,days_since_last_order,online_orders,store_orders,churned_90d
210,Julia,Robinson,female,0,en,online,78.41,57,"2023-01-11 21:06:56","2024-04-21 10:38:00",4,2707.94,593,1,3,1
211,Daniel,Martin,male,1,es,store,1386.74,81,"2023-01-18 22:59:21","2025-09-07 19:22:24",7,3674.95,89,3,4,0
212,Alexander,Moore,female,1,en,both,1318.03,28,"2023-01-26 22:09:03","2025-07-06 21:52:03",2,1541.28,151,1,1,1
213,Henry,Miller,female,1,en,store,104.92,33,"2023-03-07 19:52:57","2024-04-25 12:56:44",4,3017.65,589,3,1,1
214,Chloe,Lee,male,0,en,store,1573.91,50,"2024-05-27 13:00:14","2025-10-20 05:53:20",2,1221.59,46,2,0,0
215,Victoria,Martin,male,0,pt,online,173.53,46,"2023-04-16 15:11:29","2025-08-23 22:33:09",6,1582.56,103,3,3,1
216,James,Johnson,female,0,en,online,1557.23,29,"2024-12-04 10:04:04","2025-06-05 09:31:26",2,1063.65,183,0,2,1
217,Daniel,Wilson,male,1,en,store,613.08,47,"2025-02-16 01:54:22","2025-09-10 01:51:51",2,1412.60,86,1,1,0
218,James,Perez,female,1,en,store,1348.09,20,"2023-11-29 04:07:40","2023-11-29 04:07:40",1,897.96,737,1,0,1
219,Ava,Hall,male,1,en,online,1869.72,13,"2024-12-21 16:34:03","2024-12-21 16:34:03",1,1364.04,349,1,0,1
220,Hannah,Garcia,male,0,en,both,115.56,8,"2023-06-08 19:31:03","2023-06-22 14:25:52",2,1038.74,897,1,1,1
221,James,King,female,1,pt,store,434.86,15,"2023-11-30 04:45:53","2024-08-29 19:21:02",3,3335.06,463,1,2,1
222,James,King,female,1,pt,store,796.40,18,"2024-08-01 07:56:20","2024-10-12 04:27:42",2,2316.72,419,0,2,1
223,Charlotte,Brown,male,1,en,online,4.76,32,"2025-01-03 11:09:12","2025-11-18 20:04:18",3,1988.45,17,1,2,0
224,Nathan,Martinez,female,0,pt,online,8.65,29,"2025-11-04 22:45:08","2025-11-04 22:45:08",1,700.33,30,0,1,0
225,Mateo,White,female,1,en,store,876.47,59,"2023-09-30 14:05:01","2024-04-08 13:47:05",2,453.22,606,1,1,1
226,Noah,Lee,female,0,en,online,537.74,53,NULL,NULL,0,NULL,NULL,NULL,NULL,1
227,Mia,Garcia,female,1,en,store,399.24,42,"2023-02-12 06:15:26","2024-06-18 20:30:10",3,1586.89,535,2,1,1
228,Liam,Young,female,0,en,online,851.12,9,NULL,NULL,0,NULL,NULL,NULL,NULL,1
229,Mateo,Martinez,male,1,pt,online,1246.15,33,"2023-08-16 13:48:40","2025-03-06 02:43:46",4,1460.85,274,3,1,1
230,Sophia,Lewis,male,1,en,online,0.52,57,"2024-02-17 18:51:28","2024-02-17 18:51:28",1,51.00,657,0,1,1
231,Alexander,Hall,female,1,pt,both,11.92,74,"2025-01-25 20:51:19","2025-01-25 20:51:19",1,67.55,314,0,1,1
232,Charlotte,Moore,female,0,en,online,90.89,96,"2023-08-19 09:28:14","2025-05-16 18:15:49",3,990.71,203,2,1,1
233,Sofia,Lewis,female,1,pt,online,147.20,41,"2023-05-12 13:40:37","2023-05-12 13:40:37",1,39.82,938,0,1,1
234,David,Clark,prefer_not_to_say,1,en,online,845.33,100,"2023-05-02 23:40:19","2023-10-30 04:40:35",2,610.27,767,2,0,1
235,Mateo,Perez,male,1,en,online,1357.44,3,"2023-01-15 16:10:42","2025-01-05 02:58:37",2,142.35,334,2,0,1
236,Emma,Thomas,male,1,en,store,584.36,46,NULL,NULL,0,NULL,NULL,NULL,NULL,1
237,Julia,Miller,female,1,en,both,58.72,81,"2023-01-24 14:53:30","2023-01-24 14:53:30",1,1020.33,1046,1,0,1
238,Leo,Martin,female,1,en,online,750.95,91,"2023-02-08 22:32:41","2025-07-28 20:40:45",6,2267.74,130,3,3,1
239,Henry,Moore,male,1,pt,both,1692.27,17,NULL,NULL,0,NULL,NULL,NULL,NULL,1
240,Victoria,Young,male,1,en,online,224.83,53,"2024-08-21 05:37:13","2025-05-14 12:23:35",3,2802.03,205,2,1,1
241,Mia,Taylor,male,1,en,online,865.24,84,NULL,NULL,0,NULL,NULL,NULL,NULL,1
242,Emma,Walker,female,1,en,online,1078.92,58,"2023-11-18 18:11:24","2025-06-17 02:19:08",4,1209.34,171,3,1,1
243,Gabriel,Clark,male,1,en,online,46.52,13,"2024-05-23 17:59:44","2024-05-23 17:59:44",1,120.04,561,0,1,1
244,Victoria,Lewis,other,1,pt,online,67.25,99,"2025-07-05 02:57:41","2025-07-05 02:57:41",1,729.56,153,1,0,1
245,Benjamin,Martin,female,1,en,online,219.55,61,"2025-03-11 23:17:50","2025-05-17 16:52:17",2,404.95,202,2,0,1
246,Chloe,Brown,female,0,en,both,1928.43,42,"2024-06-24 07:23:33","2024-06-24 07:23:33",1,1167.72,529,1,0,1
247,Isabella,Garcia,male,1,en,store,193.11,52,"2025-03-18 05:38:40","2025-09-24 22:19:00",2,438.10,71,1,1,0
248,Ethan,Perez,female,1,en,both,858.21,98,"2023-05-13 00:07:24","2024-03-27 03:02:39",3,1577.53,618,1,2,1
249,Hannah,White,female,0,en,store,1473.48,76,"2023-03-16 05:52:43","2024-12-03 08:09:54",4,1946.63,367,1,3,1
250,Nathan,Lewis,female,0,en,store,1234.63,79,NULL,NULL,0,NULL,NULL,NULL,NULL,1
